Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
205,00:00:08.550,3.3612743692660554,4.225129013761468,0.9528741399082569,4.90581995412844
206,00:00:08.592,2.6268874235474007,3.0700258027522938,0.8999426605504587,3.9106938073394497
207,00:00:08.634,2.591767010703364,3.1710865825688073,0.5455848623853211,4.058629587155964
208,00:00:08.675,2.1209504013761467,2.6708715596330275,0.31880733944954126,3.3731723050458715
209,00:00:08.717,2.2821937117737003,2.540961869266055,0.5916714449541285,3.7139478211009176
210,00:00:08.759,70.58139812691132,63.56163990825688,65.42094323394495,82.76161123853211
211,00:00:08.800,2.5814100726299696,2.122491399082569,1.4200473050458715,4.201691513761468
212,00:00:08.842,1.6795441513761469,1.3933844610091743,0.8594108371559633,2.7858371559633026
213,00:00:08.884,1.5867975917431192,1.6623781536697249,0.7554830848623854,2.3425315366972477
214,00:00:08.926,1.943496750764526,1.7660192087155964,0.8955705275229358,3.168900516055046
215,00:00:08.967,1.7803779625382266,1.6269352064220184,0.8186998279816514,2.8954988532110093
216,00:00:09.009,2.20967125382263,2.0960794151376145,0.9934418004587156,3.5394925458715596
217,00:00:09.051,2.5828316131498474,2.89094753440367,0.9727637614678899,3.884783543577982
218,00:00:09.092,2.7499402714067283,2.85188503440367,1.1624856651376148,4.235450114678899
219,00:00:09.134,2.8850582951070343,2.9577838302752295,1.1443520642201834,4.553038990825688
220,00:00:09.176,3.1461797591743124,2.9901447821100917,1.337478497706422,5.110915997706422
221,00:00:09.218,2.819129873853211,2.6982153096330275,1.058235378440367,4.700938933486238
222,00:00:09.259,3.4704701834862384,3.309776376146789,1.3980074541284404,5.703626720183486
223,00:00:09.301,3.063168960244648,2.860091743119266,1.218391628440367,5.111023509174312
224,00:00:09.343,3.6840357415902143,3.298057626146789,1.3366184059633028,6.41743119266055
225,00:00:09.384,3.1781823394495405,2.9803254013761467,1.282647649082569,5.271573967889908
226,00:00:09.426,3.1538966934250765,2.733550745412844,1.3292359518348624,5.398903383027523
227,00:00:09.468,3.2198012232415905,2.896896502293578,1.4038489105504588,5.358658256880734
228,00:00:09.509,3.3065151949541285,2.784045298165138,1.3681909403669725,5.767309346330276
229,00:00:09.551,3.241446865443425,2.9392918577981653,1.2846545298165137,5.500394208715596
230,00:00:09.593,3.868537366207951,3.193054759174312,1.744911123853211,6.6676462155963305
231,00:00:09.635,3.3467125382262997,2.797376720183486,1.547340883027523,5.69542001146789
232,00:00:09.676,3.362146406727828,3.2514693233944953,1.2108658256880733,5.624104071100917
233,00:00:09.718,3.0070838111620795,2.5799885321100917,1.2957282110091743,5.145534690366972
234,00:00:09.760,3.120066418195719,2.578985091743119,1.366614105504587,5.41460005733945
235,00:00:09.801,2.725212633792049,2.35525372706422,1.1844538417431192,4.635930332568807
236,00:00:09.843,3.28852494266055,2.8469036697247705,1.5050530389908257,5.513618119266055
237,00:00:09.885,2.966468367737003,2.6617330848623855,1.3397720756880733,4.89789994266055
238,00:00:09.927,3.296206039755352,3.162378153669725,1.3710579128440368,5.355182052752293
239,00:00:09.968,3.069822725535168,3.021072247706422,1.2041642775229358,4.984231651376147
240,00:00:10.010,3.169151376146789,2.8958213876146788,1.3807339449541285,5.23089879587156
241,00:00:10.052,2.7513379204892967,2.497634747706422,1.116004873853211,4.640374139908257
242,00:00:10.093,2.2990849579510706,2.0183127866972477,1.0099627293577982,3.8689793577981653
243,00:00:10.135,2.082007358562691,1.9822247706422018,0.8411338876146789,3.4226634174311927
244,00:00:10.177,2.7036625573394493,2.5865825688073394,1.055762614678899,4.46864248853211
245,00:00:10.219,2.0980504587155964,1.9885679472477065,0.8313145068807339,3.4742689220183487
246,00:00:10.260,2.695587251529052,2.7191800458715596,1.006988245412844,4.360593463302752
247,00:00:10.302,2.624581899847095,2.393706995412844,1.0440797018348624,4.435959002293578
248,00:00:10.344,2.713923929663609,2.362098623853211,1.146072247706422,4.633600917431193
249,00:00:10.385,3.1090046827217126,2.766449254587156,1.2629730504587156,5.297591743119266
250,00:00:10.427,3.291714449541285,2.819237385321101,1.4414779243119267,5.614428038990826
251,00:00:10.469,3.115909308103975,2.6492259174311927,1.250967603211009,5.447534403669724
252,00:00:10.510,2.735008123088685,2.4643061926605503,1.1666427752293578,4.574075401376147
253,00:00:10.552,2.7478378249235473,2.5263761467889907,1.0665854357798166,4.650551892201835
254,00:00:10.594,2.347178421253823,2.2283543577981653,1.0166642775229358,3.796516628440367
255,00:00:10.636,2.49620126146789,2.0966886467889907,1.082604644495413,4.309310493119266
256,00:00:10.677,2.6383553134556577,2.3684059633027523,1.0693807339449541,4.477279243119266
257,00:00:10.719,3.05215500764526,2.438216743119266,1.4117330848623852,5.3065151949541285
258,00:00:10.761,2.581374235474006,1.9890338302752293,1.4544868119266054,4.300602064220183
259,00:00:10.802,72.03797543960245,67.39377866972477,64.61471473623853,84.10543291284404
260,00:00:10.844,5.795680428134556,6.7930404243119265,2.455848623853211,8.138152236238533
261,00:00:10.886,3.6487480886850157,4.426175458715596,1.8029673165137614,4.717101490825688
262,00:00:10.928,2.606926127675841,3.268420298165138,0.7989893922018348,3.7533686926605503
263,00:00:10.969,2.1265171062691133,2.7691012041284404,0.5661195527522935,3.0443305619266057
264,00:00:11.011,2.1877030772171255,2.4690366972477062,0.9586080848623854,3.1354644495412844
265,00:00:11.053,2.0422520068807337,2.57411123853211,0.66796875,2.8846760321100917
